
📺浙江电信酒店1,#genre#

来自浙江电信的酒店源(220.187.221.135:85)共有40个频道：
CCTV1-综合,http://220.187.221.135:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://220.187.221.135:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://220.187.221.135:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://220.187.221.135:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://220.187.221.135:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://220.187.221.135:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://220.187.221.135:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://220.187.221.135:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://220.187.221.135:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://220.187.221.135:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://220.187.221.135:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://220.187.221.135:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://220.187.221.135:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://220.187.221.135:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://220.187.221.135:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://220.187.221.135:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://220.187.221.135:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://220.187.221.135:85/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://220.187.221.135:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
来自浙江电信的酒店源(220.187.221.135:85)共有40个频道：
北京卫视,http://220.187.221.135:85/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://220.187.221.135:85/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://220.187.221.135:85/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://220.187.221.135:85/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://220.187.221.135:85/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://220.187.221.135:85/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
